city,year,popularity_dense
city26,2013,956
city26,2014,912
city26,2015,728
city26,2016,727
city26,2017,4128
city26,2019,4106
city27,2003,2335
city27,2004,2355
city27,2005,2387
city27,2006,2395
city27,2007,2408
city27,2008,2423
city27,2009,2290
city27,2010,2322
city27,2011,2400
city27,2012,2409
city27,2013,2492
city27,2014,2506
city27,2015,2512
city27,2016,2481
city27,2017,2485
city27,2018,2490
city27,2019,2495
city27,2020,2492
city27,2021,2497
city28,2007,759
city28,2008,768
city28,2009,774
city28,2010,778
city28,2011,798
city28,2012,796
city28,2013,823
city28,2014,836
city28,2015,851
city28,2016,860
city28,2017,875
city28,2018,861
city28,2019,870
city28,2020,880
city28,2021,896
city29,2007,607
city29,2008,610
city29,2009,611
city29,2010,612
city29,2011,635
city29,2012,638
city29,2013,639
city29,2014,642
city29,2015,640
city29,2016,644
city29,2017,647
city29,2018,651
city29,2019,608
city29,2020,609
city29,2021,656
city3,2002,3823
city3,2003,3985
city3,2004,4101
city3,2005,4239
city3,2006,4334
city3,2007,4412
city3,2008,4887
city3,2009,5095
city3,2010,5311
city3,2011,5360
city3,2012,5282
city3,2013,5323
city3,2014,5398
city3,2015,7081
city3,2016,7518
city3,2017,7947
city3,2018,8341
city3,2019,8611
city3,2020,8877
city30,2002,617
city30,2003,619
city30,2004,624
city30,2005,625
city30,2006,630
city30,2007,639
city30,2008,643
city30,2009,651
city30,2010,654
city30,2011,664
city30,2012,663
city30,2013,671
city30,2014,582
city30,2015,691
city30,2016,697
city30,2017,1464
city30,2019,1534
city31,2002,2315
city31,2002,422
city31,2003,424
city31,2004,426
city31,2005,430
city31,2006,430
city31,2007,431
city31,2008,432
city31,2009,449
city31,2010,458
city31,2011,467
city31,2012,468
city31,2013,472
city31,2014,473
city31,2015,475
city31,2016,482
city31,2017,486
city31,2018,489
city31,2019,495
city31,2020,498
city31,2021,504
city32,2007,751
city32,2008,755
city32,2009,759
city32,2010,760
city32,2011,760
city32,2012,764
city32,2013,768
city32,2014,770
city32,2015,774
city32,2016,778
city32,2017,788
city32,2018,789
city32,2019,788
city32,2020,787
city32,2021,789
city33,2007,661
city33,2008,670
city33,2009,678
city33,2010,684
city33,2011,773
city33,2012,775
city33,2013,769
city33,2014,779
city33,2015,749
city33,2016,753
city33,2017,758
city33,2018,762
city33,2019,764
city33,2020,769
city33,2021,791
city34,2002,531
city34,2003,531
city34,2004,532
city34,2005,533
city34,2006,471
city34,2007,474
city34,2008,477
city34,2009,478
city34,2010,479
city34,2011,481
city34,2012,484
city34,2013,485
city34,2014,425
city34,2015,489
city34,2016,489
city34,2017,2230
city34,2019,2206
city35,2002,499
city35,2003,508
city35,2004,517
city35,2005,530
city35,2006,536
city35,2007,537
city35,2008,546
city35,2009,523
city35,2010,524
city35,2011,530
city35,2012,535
city35,2013,536
city35,2014,540
city35,2015,544
city35,2016,527
city35,2017,527
city35,2018,527
city35,2019,526
city35,2020,526
city35,2021,526
city36,2007,796
city36,2008,800
city36,2009,802
city36,2010,806
city36,2011,818
city36,2012,822
city36,2013,827
city36,2014,833
city36,2015,840
city36,2016,850
city36,2017,858
city36,2018,859
city36,2019,861
city36,2020,862
city36,2021,845
city37,2002,680
city37,2003,682
city37,2004,684
city37,2005,685
city37,2006,688
city37,2007,691
city37,2008,692
city37,2009,693
city37,2010,692
city37,2011,697
city37,2012,698
city37,2013,696
city37,2014,643
city37,2015,700
city37,2016,699
city37,2017,2808
city37,2019,2936
city38,2002,234
city38,2003,237
city38,2004,240
city38,2005,245
city38,2006,247
city38,2007,249
city38,2008,253
city38,2009,257
city38,2010,259
city38,2011,265
city38,2012,267
city38,2013,267
city38,2014,270
city38,2015,271
city38,2016,269
city38,2017,270
city38,2018,271
city38,2019,273
city38,2020,275
city38,2021,276
city39,2007,249
city39,2008,251
city39,2009,253
city39,2010,255
city39,2011,257
city39,2012,259
city39,2013,262
city39,2014,263
city39,2015,265
city39,2016,266
city39,2017,268
city39,2018,271
city39,2019,264
city39,2020,264
city4,2006,734
city4,2007,739
city4,2008,753
city4,2009,759
city4,2010,801
city4,2011,812
city4,2012,760
city4,2013,761
city4,2014,764
city4,2015,768
city4,2016,772
city4,2017,779
city4,2018,782
city4,2019,784
city4,2020,772
city4,2021,777
city40,2002,694
city40,2003,694
city40,2004,695
city40,2005,695
city40,2006,696
city40,2007,699
city40,2008,699
city40,2009,699
city40,2010,702
city40,2011,704
city40,2012,707
city40,2013,705
city40,2014,823
city40,2015,709
city40,2016,708
city40,2017,1603
city40,2019,1600
city5,2002,688
city5,2003,696
city5,2004,706
city5,2005,715
city5,2006,726
city5,2007,736
city5,2008,742
city5,2009,746
city5,2010,751
city5,2011,757
city5,2012,763
city5,2013,1246
city5,2014,764
city5,2015,770
city5,2016,2049
city5,2018,2344
city6,2002,1446
city6,2003,1466
city6,2004,1494
city6,2005,1507
city6,2006,1522
city6,2007,1539
city6,2008,1708
city6,2009,1786
city6,2010,1871
city6,2011,1879
city6,2012,1912
city6,2013,1921
city6,2014,1936
city6,2015,2276
city6,2016,2303
city6,2017,2370
city6,2018,2438
city6,2019,2483
city6,2020,2506
city7,2006,542
city7,2007,552
city7,2008,559
city7,2009,567
city7,2010,592
city7,2011,594
city7,2012,596
city7,2013,596
city7,2014,597
city7,2015,599
city7,2016,601
city7,2017,604
city7,2018,607
city7,2019,609
city7,2020,635
city7,2021,643
city8,2002,514
city8,2003,516
city8,2004,520
city8,2005,524
city8,2006,529
city8,2007,530
city8,2008,533
city8,2009,530
city8,2010,535
city8,2011,539
city8,2012,543
city8,2013,479
city8,2014,559
city8,2015,562
city8,2016,5226
city8,2018,5181
city9,2002,482
city9,2003,491
city9,2004,503
city9,2005,510
city9,2006,517
city9,2007,528
city9,2008,519
city9,2009,515
city9,2010,510
city9,2011,515
city9,2012,522
city9,2013,526
city9,2014,529
city9,2015,519
city9,2016,520
city9,2017,524
city9,2018,530
city9,2019,535
city9,2020,540
